title,engine_size,engine_type,total_kms,price,link
Weirs Motors,Independent Dealer,2016,2.0 Diesel,"€20,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-low-mileage-150bhp-4dr/37153592?campaign=3
Liam Flood Cars,Independent Dealer,2015,2.0 Diesel,"€11,750",/cars-for-sale/audi-a4-tdi-automatic-audi-history-nct-jun25/37702146?campaign=3
Leinster Trade Cars,Independent Dealer,2015,2.0 Diesel,"€13,995",/cars-for-sale/2015-audi-a4auto-full-leather-nct-2026/37484559?campaign=3
Audi A4 2014 Sline,2014,2.0 Diesel,37 mins,"€11,000",/cars-for-sale/audi-a4-2014-sline/37675542
Beacon Motors,Independent Dealer,2016,2.0 Petrol,"€21,900",/cars-for-sale/audi-a4autoonly-7-000-milesfantastic-conditi/37471682
*Audi A4 2.0 TDI 2015 NCT 06/25*,2015,2.0 Diesel,"190,000 mi","€8,650",/cars-for-sale/audi-a4-2-0-tdi-2015-nct-06-25/37555441
Car,2014,2.0 Diesel,"248,000 mi","€9,300",/cars-for-sale/car/37545060
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€19,995",/cars-for-sale/161-audi-a4-s-line-auto-2-0-tdi/37678934
Reddy 2 Drive LTD,Independent Dealer,2015,2.0 Diesel,"€12,850",/cars-for-sale/151-audi-a4-2-0-tdi-163-bhp-se-ultra-technik-6-sp/37533640
Liam Flood Cars,Independent Dealer,2015,2.0 Diesel,"€11,750",/cars-for-sale/audi-a4-tdi-automatic-audi-history-nct-jun25/37702146
Car,2016,2.0 Diesel,"180,000 km","€14,450",/cars-for-sale/car/37682220
Audi A4 2014,2014,2.0 Diesel,"198,000 km","€8,900",/cars-for-sale/audi-a4-2014/37673288
Bill Griffin Motors,Independent Dealer4.3/5,2016,2.0 Diesel,"€16,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-auto-valid-nct-until-07/37727721
Auto Haven,Independent Dealer,2016,2.0 Diesel,"€13,950",/cars-for-sale/2016-audi-a4-2-0tdi-new-nct/37663113
Bill Griffin Motors,Independent Dealer4.3/5,2016,2.0 Diesel,"€16,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-auto-valid-nct-until-07/37727050
Weirs Motors,Independent Dealer,2016,2.0 Diesel,"€20,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-low-mileage-150bhp-4dr/37153592
Audi A4 2.0L Diesel Automatic,2014,2.0 Diesel,"141,000 mi","€12,950",/cars-for-sale/audi-a4-2-0l-diesel-automatic/37681114
2016 Audi A4 2.0 TDI SE Ultra Black Edition,2016,2.0 Diesel,"176,000 mi","€14,850",/cars-for-sale/2016-audi-a4-2-0-tdi-se-ultra-black-edition/37727015
Audi A4 2014,2014,2.0 Diesel,"235,000 km","€13,950",/cars-for-sale/audi-a4-2014/37726622
Audi A4 tecknik ultra,2015,2.0 Diesel,"251,000 km","€13,950",/cars-for-sale/audi-a4-tecknik-ultra/37646275
Audi A4 S-Line Black Edition,2014,2.0 Diesel,"364,000 km","€7,000",/cars-for-sale/audi-a4-s-line-black-edition/37671136
Mullen Autos,Independent Dealer,2016,2.0 Diesel,"€17,990",/cars-for-sale/audi-a4-2-0-tdi-sport-ultra-black-ed-styling/37584427
2016 Audi A4 2.0 Tdi NCT 03-26,2016,2.0 Diesel,190 mi,"€9,995",/cars-for-sale/2016-audi-a4-2-0-tdi-nct-03-26/37173222
Audi a4,2015,2.0 Diesel,149 mi,"€15,250",/cars-for-sale/audi-a4/37512981
Audi A4 Technik ultra,2014,2.0 Diesel,"238,000 km","€11,950",/cars-for-sale/audi-a4-technik-ultra/37724533
Delta Car Sales Ltd,Independent Dealer,2016,2.0 Diesel,"€14,950",/cars-for-sale/2016-audi-a4-se-ultra-2-0-tdi-auto-nct-08-26/37724426
Audi A4 2016,2016,2.0 Diesel,"196,000 km","€13,500",/cars-for-sale/audi-a4-2016/37536532
Audi A4 S line 150BHP 2016 (162),2016,2.0 Diesel,"196,330 km","€18,000",/cars-for-sale/audi-a4-s-line-150bhp-2016-162/37668889
Bill Griffin Motors,Independent Dealer4.3/5,2016,1.4 Petrol,"€20,750",/cars-for-sale/audi-a4-1-4-tfsi-sport-automatic-cruise-contro/36626764
Pauric Connolly Cars,Independent Dealer,2016,2.0 Diesel,"€14,950",/cars-for-sale/audi-a4-2016-150bhp-se-ultra/37666741
P McCaffrey Motors,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/2016-audi-a4-2-0-tdi-150-bhp-ultra-leather/37619184
P McCaffrey Motors,Independent Dealer,2016,2.0 Diesel,"€17,850",/cars-for-sale/2016-audi-a4-sport-2-0-tdi-150-bhp-ultra-black-edi/37619181
GMG Motors,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/audi-a4-mint-condition-fash-2-0-tdi-120-se-4dr/37041544?campaign=3
SPOTLIGHT,2015,2.0 Diesel,149 mi,"€15,250",/cars-for-sale/audi-a4/37512981?campaign=3
Superior Autos,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-audi-a4-s-line-auto-150bhp/37667783?campaign=3
Audi A4 Sport 2.0 TDI 190BHP NEW NCT,2016,2.0 Diesel,"112,000 mi","€15,995",/cars-for-sale/audi-a4-sport-2-0-tdi-190bhp-new-nct/37391672
WP Motor Company,Independent Dealer,2014,2.0 Diesel,"€12,900",/cars-for-sale/audi-a4/34213446
Audi A4,2016,2.0 Diesel,"180,000 km","€12,500",/cars-for-sale/audi-a4/34811031
Walsh Autos,Independent Dealer,2015,2.0 Diesel,"€16,650",/cars-for-sale/audi-a4-2-0-tdi-s-line-nav-150ps-4dr/37536437
Johnson & Perrott Mahonpoint,Franchise Dealer4.4/5,2016,1.4 Petrol,"€19,900",/cars-for-sale/audi-a4-1-4-tfsi-sport-estate-like-new-conditi/36842268
New Nct,2014,2.0 Diesel,"236,000 km","€9,500",/cars-for-sale/new-nct/37548963
Audi A4 Advant Full Cream Interior,2015,2.0 Diesel,"270,000 km","€8,650",/cars-for-sale/audi-a4-advant-full-cream-interior/37202508
Frank Wray Cars Ltd,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/audi-a4-2016162black-editionquattro-auto/37579756
142 Audi A4 S-Line,2014,2.0 Diesel,"145,085 mi","€9,995",/cars-for-sale/142-audi-a4-s-line/37578211
Audi a4 S-line estate,2015,2.0 Diesel,"264,000 km","€17,500",/cars-for-sale/audi-a4-s-line-estate/37362996
Motorcare Cars & Customising,Independent Dealer,2016,2.0 Diesel,"€13,950",/cars-for-sale/2016-audi-a4-sport-2-0-tdi/37514100
Audi A4 Estate 2.0 Sline.,2016,2.0 Diesel,"267,000 km","€14,950",/cars-for-sale/audi-a4-estate-2-0-sline-/37357163
A.B.C Premier Motors,Independent Dealer,2014,2.0 Diesel,"€7,450",/cars-for-sale/audi-a4-2-0-tdi-177bhp/37561280
Audi A4 2014,2014,2.0 Petrol,"96,000 km","€13,750",/cars-for-sale/audi-a4-2014/37342926
Holden Motor Company,Independent Dealer,2015,2.0 Diesel,"€13,900",/cars-for-sale/2015-audi-a4-auto-warranty-inc-/37552661
Audi A4 2.0 TDI SE model manual,2014,2.0 Diesel,"112,865 km","€13,000",/cars-for-sale/audi-a4-2-0-tdi-se-model-manual/36802394
2014 Audi A4 (NCT 07/25),2014,2.0 Diesel,"110,000 mi","€11,450",/cars-for-sale/2014-audi-a4-nct-07-25/37148362
AUDI A4 2.0 TDI ULTRA SE AUTO,2016,2.0 Diesel,"181,000 mi","€14,500",/cars-for-sale/audi-a4-2-0-tdi-ultra-se-auto/37504785
Long Mile Motors Ltd,Independent Dealer,2016,2.0 Diesel,"€14,995",/cars-for-sale/audi-a4-2016-new-nct-warranty-included/37356375
Audi A4 3.0 Tdi Quattro 300bhp,2016,3.0 Diesel,"175,000 km","€25,000",/cars-for-sale/audi-a4-3-0-tdi-quattro-300bhp/36804553
Audi A4,2016,2.0 Diesel,"103,000 km","€16,000",/cars-for-sale/audi-a4/37324119
Kingdom Motors,Independent Dealer,2014,2.0 Diesel,"€9,000",/cars-for-sale/automatic-174-hp-nct-11-24/37540835
2014 Audi A4 2.0 Diesel BLACK,2014,2.0 Diesel,"220,000 km","€10,950",/cars-for-sale/2014-audi-a4-2-0-diesel-black/36454961
Audi A4 2014,2014,2.0 Diesel,"166,000 mi","€9,500",/cars-for-sale/audi-a4-2014/37153978
Audi A4 avant,2015,2.0 Diesel,"226,000 km","€11,750",/cars-for-sale/audi-a4-avant/37369748
Roskeen Cars And Commercials,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/audi-a4-2-0-tdi-ultra-150-black-edition-styling/35128093
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€22,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-cream-heated/36822145
Audi a4 S line 2 l diesel,2014,2.0 Diesel,"210,000 km","€9,450",/cars-for-sale/audi-a4-s-line-2-l-diesel/36568995
2016 Audi A4,2016,2.0 Diesel,"134,000 mi","€6,999",/cars-for-sale/2016-audi-a4/37295832
Leinster Trade Cars,Independent Dealer,2015,2.0 Diesel,"€13,995",/cars-for-sale/2015-audi-a4auto-full-leather-nct-2026/37484559?campaign=3
Superior Autos,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-audi-a4-s-line-auto-150bhp/37667783?campaign=3
Weirs Motors,Independent Dealer,2016,2.0 Diesel,"€20,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-low-mileage-150bhp-4dr/37153592?campaign=3
Meath Car Sales,Independent Dealer,2014,2.0 Petrol,"€14,999",/cars-for-sale/audi-a4-2l-tfsi-quattro-avant/37303790
Audi A4 2016,2016,2.0 Diesel,"173,750 mi","€14,250",/cars-for-sale/audi-a4-2016/37503071
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€21,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-s-line-heate/36794564
Martin Barrett Car Sales,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/audi-a4-avant-2-0-tdi-150-s-line-4dr/37254056
Peter Hanley Motors,Independent Dealer4.8/5,2016,2.0 Diesel,"€18,950",/cars-for-sale/audi-a4-2-0-tdi-sline-150ps-4dr/37499613
2016 Audi A4,2016,2.0 Diesel,"143,700 mi","€17,000",/cars-for-sale/2016-audi-a4/37498238
Automatic Motor Car Centre,Independent Dealer,2016,1.4 Petrol,"€21,450",/cars-for-sale/audi-a4-audi-a4-automatic-1-4-tfsi-sport-heated/37497319
Audi A4 2014,2014,2.0 Diesel,"285,000 km","€9,000",/cars-for-sale/audi-a4-2014/37279443
"Audi A4 2.0 TDI S-LINE 148BHP 5DR AVANT, 2014",2014,2.0 Diesel,"173,175 km","€13,500",/cars-for-sale/audi-a4-2-0-tdi-s-line-148bhp-5dr-avant-2014/37276248
Audi A4 2015,2015,2.0 Diesel,165 km,"€10,500",/cars-for-sale/audi-a4-2015/37275402
Derek Considine Car Sales Ltd,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/audi-a4-2-0-tdi-s-line-190ps-4dr/36539028
Audi A4 AVANT QUATTRO S LINE 2016,2016,2.0 Diesel,"305,000 km","€16,950",/cars-for-sale/audi-a4-avant-quattro-s-line-2016/37267285
Audi A4 s-line 2015 225hp,2015,2.0 Petrol,"111,000 km","€12,750",/cars-for-sale/audi-a4-s-line-2015-225hp/36667811
Audi A4 2014,2014,2.0 Petrol,"131,000 km","€10,500",/cars-for-sale/audi-a4-2014/37259655
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€21,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-51k-kms-cr/37473738
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€22,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-heated-leath/36763870
Audi A4 2015,2015,2.0 Diesel,"167,412 mi","€10,200",/cars-for-sale/audi-a4-2015/37087592
Audi A4 NEW MOT Quattro,2014,2.0 Diesel,"153,000 km","€5,200",/cars-for-sale/audi-a4-new-mot-quattro/37254663
Audi A4 2015,2015,2.0 Diesel,"185,000 km","€13,750",/cars-for-sale/audi-a4-2015/36229505
2016 Audi A4 sline,2016,2.0 Diesel,"190,000 km",€1,/cars-for-sale/2016-audi-a4-sline/37250439
2015 Audi A4 2L TDI Ultra SE,2015,2.0 Diesel,"191,000 km","€10,999",/cars-for-sale/2015-audi-a4-2l-tdi-ultra-se/37240848
Audi a4,2014,2.0 Diesel,"180,000 km","€14,000",/cars-for-sale/audi-a4/37239731
151 Audi A4 2.0L TDI SE Ultra,2015,2.0 Diesel,"134,000 mi","€12,950",/cars-for-sale/151-audi-a4-2-0l-tdi-se-ultra/37448759
Derek Considine Car Sales Ltd,Independent Dealer,2014,2.0 Diesel,"€10,950",/cars-for-sale/audi-a4-2-0-tdi-se-technik-136ps-4dr/37192134
Audi A4 S-Line Black Edition,2014,2.0 Diesel,"190,000 km","€15,300",/cars-for-sale/audi-a4-s-line-black-edition/37222252
Audi A4,2015,2.0 Diesel,"105,000 mi","€14,999",/cars-for-sale/audi-a4/37221945
Audi A4 2014,2014,2.0 Diesel,"162,000 mi","€11,200",/cars-for-sale/audi-a4-2014/37264122
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€22,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-sport-30k-km/37421854
Weirs Motors,Independent Dealer,2016,2.0 Diesel,"€20,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-low-mileage-150bhp-4dr/37153592?campaign=3
Liam Flood Cars,Independent Dealer,2015,2.0 Diesel,"€11,750",/cars-for-sale/audi-a4-tdi-automatic-audi-history-nct-jun25/37702146?campaign=3
Superior Autos,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-audi-a4-s-line-auto-150bhp/37667783?campaign=3
FK Performance Motors,Independent Dealer,2016,2.0 Diesel,"€14,950",/cars-for-sale/audi-a4-2016-2-0-tdi-finance-available/37635038
BB Motors Kildare,Independent Dealer,2014,2.0 Diesel,"€18,950",/cars-for-sale/audi-a4-2-0-tdi-150bhp-quattro/37339570
Audi A4,2015,2.0 Diesel,"263,000 km","€13,000",/cars-for-sale/audi-a4/36442159
AUDI A4 151,2015,2.0 Diesel,"161,784 mi","€11,000",/cars-for-sale/audi-a4-151/37420642
Audi A4 2l TDI S Line 190 BHP,2016,2.0 Diesel,"131,000 mi",€12,/cars-for-sale/audi-a4-2l-tdi-s-line-190-bhp/37092625
Audi a4 tdi,2015,2.0 Diesel,"204,000 mi","€7,650",/cars-for-sale/audi-a4-tdi/37418335
Dunshaughlin Motor Company,Independent Dealer,2015,2.0 Diesel,"€11,950",/cars-for-sale/audi-a4-2-0-tdi-se-technik-ultra-163bhp-high-spe/37367301
2015 Audi A4 Avant SE Technik 2.0 TDI 136hp,2015,2.0 Diesel,"187,267 km","€12,250",/cars-for-sale/2015-audi-a4-avant-se-technik-2-0-tdi-136hp/37417318
Optimum Autos,Independent Dealer,2016,2.0 Petrol,"€21,950",/cars-for-sale/2016-audi-a4-avant-s-line-2-0-quattro-4wd-59-50/37552942
William Roche Motors,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/audi-a4-2-0-tdi-se-ultra-148bhp-4dr-150ps/37421049
Audi A4,2015,2.0 Diesel,"166,500 km","€11,000",/cars-for-sale/audi-a4/37412311
Mellotte Motors,Independent Dealer,2016,2.0 Petrol,"€22,950",/cars-for-sale/audi-a4-2-0tfsi-150bhp-auto/37232439
N2 Car Sales,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/162-audi-a4-s-line-2-0tdi-auto-new-nct-very-cle/37484143
N2 Car Sales,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/162-audi-a4-2-0tdi-manual-s-line-low-miles-new-nct/37550002
Audi A4,2015,2.0 Diesel,285 km,"€10,500",/cars-for-sale/audi-a4/37622311
Evra Motors,Independent Dealer,2016,1.4 Petrol,"€19,950",/cars-for-sale/audi-a4-se-ultra-1-4-petrol-automatic/37365838
Evra Motors,Independent Dealer,2016,2.0 Petrol,"€24,950",/cars-for-sale/audi-a4-2-0-tfsi-s-line-4dr-petrol-automatic/37468800
Evra Motors,Independent Dealer,2016,2.0 Petrol,"€24,950",/cars-for-sale/audi-a4-quattro-2-0-petrol-automatic-high-spec-/37466094
Audi a4 3.0 V6 Quattro S-line,2016,3.0 Diesel,"260,000 km","€19,950",/cars-for-sale/audi-a4-3-0-v6-quattro-s-line/35629803
ND Motors,Independent Dealer,2014,2.0 Petrol,"€14,450",/cars-for-sale/2014-audi-a4-2-0-tfsi-tecknik-auto/37354293
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€21,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-reverse-came/37616529
Kilcoyne & Scahill Motors Ltd,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/audi-a4-2016/37038347
LMR Car Sales,Independent Dealer,2015,2.0 Diesel,"€16,950",/cars-for-sale/audi-a4-s-line-black-edition-2-0-tdi/37566458
Long Mile Motors Ltd,Independent Dealer,2014,2.0 Diesel,"€10,000",/cars-for-sale/audi-a4-2014-avant-new-nct-war/37315009
Ballincollig Motors,Independent Dealer,2014,2.0 Diesel,"€11,950",/cars-for-sale/audi-a4-2014-2-0-tdi-new-nct/37612312
Je Car Sales Ltd,Independent Dealer,2015,2.0 Diesel,"€10,250",/cars-for-sale/audi-a4-2-0-tdi-estate-leather-sat-nav-new-nct/37317255
151 Audi s- line black edition 150 bhp,2015,2.0 Diesel,"207,831 km","€13,250",/cars-for-sale/151-audi-s-line-black-edition-150-bhp/37463722
Audi a4 s line,2016,2.0 Diesel,"177,000 km","€19,500",/cars-for-sale/audi-a4-s-line/37394606
142 Audi A4 S line,2014,2.0 Diesel,"181,000 mi","€10,000",/cars-for-sale/142-audi-a4-s-line/37394175
JMC Car Sales,Independent Dealer,2016,2.0 Diesel,"€19,995",/cars-for-sale/stunning-audi-a4-sline/37702836?campaign=3
Superior Autos,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-audi-a4-s-line-auto-150bhp/37667783?campaign=3
